id;city;city_ascii;country;admin_name
293;Baotou;Baotou;China;Inner Mongolia
294;Handan;Handan;China;Hebei
295;Jinzhou;Jinzhou;China;Liaoning
296;Kanpur;Kanpur;India;Uttar Pradesh
297;Denver;Denver;United States;Colorado
298;Nanping;Nanping;China;Fujian
299;G?zipura;Gazipura;Bangladesh;Dhaka
300;Shanwei;Shanwei;China;Guangdong
301;Chaozhou;Chaozhou;China;Guangdong
302;Guayaquil;Guayaquil;Ecuador;Guayas
303;Weifang;Weifang;China;Shandong
304;Huai’an;Huai'an;China;Jiangsu
305;Zibo;Zibo;China;Shandong
306;Ankang;Ankang;China;Shaanxi
307;Mogadishu;Mogadishu;Somalia;Banaadir
308;Munich;Munich;Germany;Bavaria
309;Gulou;Gulou;China;Fujian
310;Taipei;Taipei;Taiwan;Taipei
311;Bekasi;Bekasi;Indonesia;Jawa Barat
312;Damascus;Damascus;Syria;Dimashq
313;Sanming;Sanming;China;Fujian
314;Yangjiang;Yangjiang;China;Guangdong
315;Jiamusi;Jiamusi;China;Heilongjiang
316;Luohe;Luohe;China;Henan
317;Medellín;Medellin;Colombia;Antioquia
318;Dingxi;Dingxi;China;Gansu
319;Shaoxing;Shaoxing;China;Zhejiang
320;Yantai;Yantai;China;Shandong
321;Huizhou;Huizhou;China;Guangdong
322;Lishui;Lishui;China;Zhejiang
323;Xuanzhou;Xuanzhou;China;Anhui
324;Khowrhesht;Khowrhesht;Iran;Qazv?n
325;Mirz?pur;Mirzapur;India;Uttar Pradesh
326;Zigong;Zigong;China;Sichuan
327;Hamburg;Hamburg;Germany;Hamburg
328;Guangyuan;Guangyuan;China;Sichuan
329;Cali;Cali;Colombia;Valle del Cauca
330;Huangshi;Huangshi;China;Hubei
331;Xining;Xining;China;Qinghai
332;Lusaka;Lusaka;Zambia;Lusaka
333;Ouagadougou;Ouagadougou;Burkina Faso;Centre
334;Yaoundé;Yaounde;Cameroon;Centre
335;Zhuhai;Zhuhai;China;Guangdong
336;Huludao;Huludao;China;Liaoning
337;Baoshan;Baoshan;China;Yunnan
338;Mecca;Mecca;Saudi Arabia;Makkah al Mukarramah
339;Vancouver;Vancouver;Canada;British Columbia
340;Lianshan;Lianshan;China;Liaoning
341;Beirut;Beirut;Lebanon;Beyrouth
342;Salvador;Salvador;Brazil;Bahia
343;Bucharest;Bucharest;Romania;Bucure?ti
344;Longba;Longba;China;Gansu
345;N?gpur;Nagpur;India;Mah?r?shtra
346;Queens;Queens;United States;New York
347;Jilin;Jilin;China;Jilin
348;Tieling;Tieling;China;Liaoning
349;Accra;Accra;Ghana;Greater Accra
350;Yunfu;Yunfu;China;Guangdong
351;Bekasi Kota;Bekasi Kota;Indonesia;Jawa Barat
352;Daegu;Daegu;Korea, South;Daegu
353;Gh?zi?b?d;Ghaziabad;India;Uttar Pradesh
354;Luoyang;Luoyang;China;Henan
355;Brisbane;Brisbane;Australia;Queensland
356;Anshun;Anshun;China;Guizhou
357;Riverside;Riverside;United States;California
358;Yingkou;Yingkou;China;Liaoning
359;Colombo;Colombo;Sri Lanka;Western
360;Yanjiang;Yanjiang;China;Sichuan
361;Baku;Baku;Azerbaijan;Bak?
362;Antananarivo;Antananarivo;Madagascar;Antananarivo
363;Mudanjiang;Mudanjiang;China;Heilongjiang
364;Fukuoka;Fukuoka;Japan;Fukuoka
365;Yan’an;Yan'an;China;Shaanxi
366;Jincheng;Jincheng;China;Shanxi
367;Nantong;Nantong;China;Jiangsu
368;Lincang;Lincang;China;Yunnan
369;Yuxi;Yuxi;China;Yunnan
370;Las Vegas;Las Vegas;United States;Nevada
371;Caracas;Caracas;Venezuela;Distrito Capital
372;Tangerang;Tangerang;Indonesia;Jawa Barat
373;Laibin;Laibin;China;Guangxi
374;Konya;Konya;Turkey;Konya
375;Supaul;Supaul;India;Bih?r
376;Vienna;Vienna;Austria;Wien
377;E?fah?n;Esfahan;Iran;E?fah?n
378;Baltimore;Baltimore;United States;Maryland
379;Shengli;Shengli;China;Shandong
380;Dandong;Dandong;China;Liaoning
381;Qinbaling;Qinbaling;China;Gansu
382;Gaoping;Gaoping;China;Sichuan
383;Awka;Awka;Nigeria;Anambra
384;Taizhou;Taizhou;China;Zhejiang
385;Ma’anshan;Ma'anshan;China;Anhui
386;Harare;Harare;Zimbabwe;Harare
387;Perth;Perth;Australia;Western Australia
388;St. Louis;St. Louis;United States;Missouri
389;Phnom Penh;Phnom Penh;Cambodia;Phnom Penh
390;Depok;Depok;Indonesia;Jawa Barat
391;Stockholm;Stockholm;Sweden;Stockholm
392;Puning;Puning;China;Guangdong
393;Huaibei;Huaibei;China;Anhui
394;Kowloon;Kowloon;Hong Kong;
395;Córdoba;Cordoba;Argentina;Córdoba
396;Haiphong;Haiphong;Vietnam;H?i Phòng
397;Zamboanga City;Zamboanga City;Philippines;Zamboanga
398;Chongzuo;Chongzuo;China;Guangxi
399;Rawalpindi;Rawalpindi;Pakistan;Punjab
400;Portland;Portland;United States;Oregon
401;Kano;Kano;Nigeria;Kano
402;Yushan;Yushan;China;Jiangsu
403;Havana;Havana;Cuba;La Habana
404;Hezhou;Hezhou;China;Guangxi
405;Pingliang;Pingliang;China;Gansu
406;Vadodara;Vadodara;India;Gujar?t
407;Manaus;Manaus;Brazil;Amazonas
408;Qingyang;Qingyang;China;Fujian
409;San Antonio;San Antonio;United States;Texas
410;R?jkot;Rajkot;India;Gujar?t
411;Shangzhou;Shangzhou;China;Shaanxi
412;Vish?khapatnam;Vishakhapatnam;India;Andhra Pradesh
413;Sanmenxia;Sanmenxia;China;Henan
414;Baicheng;Baicheng;China;Jilin
415;Gujranwala;Gujranwala;Pakistan;Punjab
416;Aleppo;Aleppo;Syria;?alab
417;Tijuana;Tijuana;Mexico;Baja California
418;Bamenda;Bamenda;Cameroon;North-West
419;Minsk;Minsk;Belarus;Minsk
420;Indore;Indore;India;Madhya Pradesh
421;Karaj;Karaj;Iran;Alborz
422;Kananga;Kananga;Congo (Kinshasa);Kasaï Central
423;Peshawar;Peshawar;Pakistan;Khyber Pakhtunkhwa
424;Sapporo;Sapporo;Japan;Hokkaid?
425;Sacramento;Sacramento;United States;California
426;Tilburg;Tilburg;Netherlands;Noord-Brabant
427;Pingxiang;Pingxiang;China;Jiangxi
428;Ecatepec;Ecatepec;Mexico;México
429;Almaty;Almaty;Kazakhstan;Almaty
430;Austin;Austin;United States;Texas
431;Yinchuan;Yinchuan;China;Ningxia
432;Santos;Santos;Brazil;São Paulo
433;Blantyre;Blantyre;Malawi;Blantyre
434;Th?ne;Thane;India;Mah?r?shtra
435;Orlando;Orlando;United States;Florida
436;Tainan;Tainan;Taiwan;Tainan
437;Xiping;Xiping;China;Shanxi
438;Multan;Multan;Pakistan;Punjab
439;Santa Cruz;Santa Cruz;Bolivia;Santa Cruz
440;Port Harcourt;Port Harcourt;Nigeria;Rivers
441;Jixi;Jixi;China;Heilongjiang
442;Fushun;Fushun;China;Liaoning
443;Warsaw;Warsaw;Poland;Mazowieckie
444;Beihai;Beihai;China;Guangxi
445;Fuxin;Fuxin;China;Liaoning
446;Wuwei;Wuwei;China;Gansu
447;Siping;Siping;China;Jilin
448;San Juan;San Juan;Puerto Rico;Puerto Rico
449;Mersin;Mersin;Turkey;Mersin
450;Bhop?l;Bhopal;India;Madhya Pradesh
451;Mosul;Mosul;Iraq;N?nawá
452;Lubumbashi;Lubumbashi;Congo (Kinshasa);Haut-Katanga
453;Davao;Davao;Philippines;Davao
454;Curitiba;Curitiba;Brazil;Paraná
455;San Jose;San Jose;United States;California
456;Shuyangzha;Shuyangzha;China;Jiangsu
457;Adana;Adana;Turkey;Adana
458;Quito;Quito;Ecuador;Pichincha
459;Pittsburgh;Pittsburgh;United States;Pennsylvania
460;Brazzaville;Brazzaville;Congo (Brazzaville);Brazzaville
461;Hyderabad City;Hyderabad City;Pakistan;Sindh
462;Diyarbak?r;Diyarbakir;Turkey;Diyarbak?r
463;Indianapolis;Indianapolis;United States;Indiana
464;Pimpri-Chinchwad;Pimpri-Chinchwad;India;Mah?r?shtra
465;Masqa?;Masqat;Oman;Masqa?
466;Montevideo;Montevideo;Uruguay;Montevideo
467;Shuozhou;Shuozhou;China;Shanxi
468;Manhattan;Manhattan;United States;New York
469;Cincinnati;Cincinnati;United States;Ohio
470;Kansas City;Kansas City;United States;Missouri
471;Patna;Patna;India;Bih?r
472;Tegucigalpa;Tegucigalpa;Honduras;Francisco Morazán
473;Kampala;Kampala;Uganda;Kampala
474;Cleveland;Cleveland;United States;Ohio
475;Sanzhou;Sanzhou;China;Chongqing
476;Changshu;Changshu;China;Jiangsu
477;Heihe;Heihe;China;Heilongjiang
478;Conakry;Conakry;Guinea;Conakry
479;Ximeicun;Ximeicun;China;Fujian
480;Caloocan City;Caloocan City;Philippines;Caloocan
481;Masvingo;Masvingo;Zimbabwe;Masvingo
482;Zhongli;Zhongli;Taiwan;Taoyuan
483;Novosibirsk;Novosibirsk;Russia;Novosibirskaya Oblast’
484;Bil?spur;Bilaspur;India;Chhatt?sgarh
485;Semarang;Semarang;Indonesia;Jawa Tengah
486;Jingdezhen;Jingdezhen;China;Jiangxi
487;Ludhi?na;Ludhiana;India;Punjab
488;Liaoyang;Liaoyang;China;Liaoning
489;Chengtangcun;Chengtangcun;China;Shandong
490;R?jsh?hi;Rajshahi;Bangladesh;R?jsh?hi
491;Balandougou;Balandougou;Mali;Kayes
492;Jiangyin;Jiangyin;China;Jiangsu
493;Valencia;Valencia;Spain;Valencia
494;?gra;Agra;India;Uttar Pradesh
495;León de los Aldama;Leon de los Aldama;Mexico;Guanajuato
496;Puebla;Puebla;Mexico;Puebla
497;Columbus;Columbus;United States;Ohio
498;Yopougon;Yopougon;Côte d’Ivoire;Abidjan
499;Hebi;Hebi;China;Henan
500;Sh?r?z;Shiraz;Iran;F?rs
501;Madurai;Madurai;India;Tamil N?du
